question,answer,category
"Does your organization maintain a formal information security program?","Yes. Meridian Financial Services maintains a formally documented Information Security Program (ISP) overseen by our CISO, who reports directly to the Board Risk Committee. The program is aligned to NIST CSF 2.0 and reviewed annually. Our ISP encompasses 34 security domains covering people, processes, technology, data, and facilities. We maintain SOC 2 Type II certification and are FFIEC examined annually.",governance
"Describe your access control and authentication mechanisms.","All access to systems containing customer financial data requires multi-factor authentication (MFA) using hardware security keys (FIDO2) for privileged accounts and push-based MFA for standard users. We enforce role-based access control (RBAC) with quarterly access reviews. Privileged access is managed through CyberArk PAM with session recording. Account provisioning and deprovisioning follow automated JML (Joiner-Mover-Leaver) workflows via Okta with a 24-hour SLA for termination access removal.",access_control
"How is data encrypted in transit and at rest?","All data in transit is encrypted using TLS 1.3 (minimum TLS 1.2 for legacy integrations with documented exceptions). Data at rest is encrypted using AES-256 via AWS KMS with customer-managed keys (CMK). Key rotation occurs automatically every 365 days. Database encryption uses Transparent Data Encryption (TDE) for Aurora PostgreSQL. All encryption standards are documented in our Cryptographic Standard (CS-001) and reviewed semi-annually.",encryption
"What is your incident response process?","We maintain a formal Incident Response Plan (IRP) with a dedicated 24/7 Security Operations Center (SOC). Our MTTD target is <15 minutes and MTTR target is <4 hours for critical incidents. The IRP includes defined severity levels (P1-P4), escalation paths, communication templates, and regulatory notification procedures (72-hour notification to OCC/FDIC for material incidents). We conduct quarterly tabletop exercises and annual purple team engagements. Post-incident reviews are mandatory within 5 business days.",incident_response
"How do you manage third-party and vendor risk?","We maintain a formal Third-Party Risk Management (TPRM) program with risk-tiered vendor assessments. Critical vendors (those with access to NPI or material business dependency) undergo annual onsite assessments, SOC 2 review, and continuous monitoring via SecurityScorecard. All vendors sign our standard security addendum and BAA where applicable. We maintain a vendor risk register reviewed quarterly by the Risk Committee. Supply chain risk assessments include fourth-party mapping for critical vendors.",vendor_management
"Describe your business continuity and disaster recovery capabilities.","Our Business Continuity Plan (BCP) supports an RTO of 4 hours and RPO of 1 hour for critical systems. We operate active-active across two AWS regions (us-east-1 and us-west-2) with automated failover. DR tests are conducted quarterly with full failover validation semi-annually. BIA is updated annually covering all critical business processes. We maintain documented procedures for pandemic, cyberattack, facility loss, and key person dependency scenarios. Results are reported to the Board Risk Committee.",business_continuity
"What vulnerability management processes are in place?","We perform continuous vulnerability scanning using Qualys VMDR across all assets with the following SLAs: Critical (24h), High (7 days), Medium (30 days), Low (90 days). Patch compliance is tracked weekly and reported to leadership monthly. We maintain 95%+ SLA compliance. External penetration tests are conducted quarterly by an independent firm, with critical findings remediated within 48 hours. We participate in responsible disclosure and maintain a bug bounty program through HackerOne.",vulnerability_management
"How do you ensure data privacy and comply with financial regulations?","We comply with GLBA, SOX, PCI DSS 4.0.1, CCPA/CPRA, and state privacy laws. Our Privacy Officer oversees a formal privacy program with Data Protection Impact Assessments (DPIAs) for new processing activities. Customer NPI (Nonpublic Personal Information) is classified and handled per our Data Classification Policy. We maintain data flow maps for all NPI, conduct annual privacy training, and respond to consumer rights requests within 30 days. Data retention follows our Records Retention Schedule aligned to regulatory minimums.",data_protection
"What security awareness training do you provide?","All employees complete annual security awareness training covering phishing, social engineering, data handling, and regulatory obligations (GLBA, BSA/AML). New hires complete training within 5 days of start. We conduct monthly phishing simulations with a target failure rate <3%. Role-based training is provided for developers (secure coding), administrators (privileged access), and executives (business email compromise). Training completion is tracked and non-compliance escalated to HR within 14 days.",training
"How do you monitor and detect security threats?","We operate a 24/7 SOC using Splunk Enterprise Security as our SIEM, processing 50TB+ daily logs from all systems, endpoints (CrowdStrike), network (Palo Alto), cloud (AWS CloudTrail/GuardDuty), and applications. We maintain 200+ correlation rules with automated response playbooks via Splunk SOAR. Threat intelligence is integrated from FS-ISAC, Mandiant, and CISA feeds. Network Detection and Response (NDR) monitors east-west traffic. All alerts are triaged within 15 minutes with documented escalation procedures.",monitoring
"Do you have a formal change management process?","Yes. All changes to production systems follow our Change Management Policy aligned to ITIL v4. Changes are categorized as Standard (pre-approved), Normal (CAB review), or Emergency (post-implementation review within 24h). All code changes require peer review, automated testing (SAST/DAST/SCA), and approval before deployment. We maintain segregation of duties between development, QA, and operations. Change success rate is tracked monthly with a target >98%. Rollback procedures are documented and tested for all changes.",change_management
"How do you handle regulatory examinations and audits?","We maintain ongoing examination readiness with a dedicated Regulatory Affairs team. Annual assessments include: SOC 2 Type II, PCI DSS v4.0 SAQ-D, FFIEC IT examination, state regulatory exams, and internal audit. Findings are tracked in our GRC platform (ServiceNow IRM) with defined remediation SLAs. We maintain zero repeat findings across consecutive examination cycles. Board reporting on audit status occurs quarterly with the Audit Committee.",governance
